sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
34840,61346.13593,16.567,61346.13593,61384.16940,9.03680,47.07027,19.45013,-0.18896,63.49
34851,61445.28532,18.431,61445.28532,61475.32069,65.76216,95.79753,135.44244,-0.16535,382.47
34853,61443.18753,24.308,61443.18753,61468.13379,68.15402,93.10028,90.67936,-0.16785,259.37
34864,62126.24306,18.633,62126.24306,62203.02711,5.99624,82.78028,152.50777,0.24357,429.40
34881,61355.21197,20.648,61355.21197,61355.21332,0.58703,0.58838,271.33629,-0.17920,756.17
34889,61728.19295,23.461,61728.19295,61730.29442,20.44069,22.54216,240.56494,0.01520,671.55
34969,61020.32089,22.940,61020.32089,61029.29097,19.56559,28.53567,70.54858,-0.38126,204.01
34997,62126.26226,18.334,62126.26226,62213.01847,11.07142,97.82762,164.90466,0.24071,463.49
35007,61357.29985,15.766,61357.29985,61360.24370,57.89204,60.83589,27.15125,-0.21003,84.67
35024,61004.05117,20.577,61004.05117,61016.29753,83.19806,95.44441,38.83207,-0.42888,116.79
35028,62511.07679,23.168,62511.07679,62527.06982,31.84876,47.84179,89.26836,0.45316,255.49
35044,61643.05856,23.781,61643.05856,61647.10548,19.60093,23.64784,174.47126,-0.03098,489.80
35070,61031.31303,22.753,61031.31303,61039.31753,6.28954,14.29404,297.09289,-0.36697,827.01
35079,61382.05684,20.347,61382.05684,61385.07016,81.15605,84.16938,144.82020,-0.20919,408.26
35080,61856.35604,21.502,61856.35604,61857.31756,78.86581,79.82734,274.58957,0.05343,765.12
35107,61522.12297,20.600,61522.12297,61555.06875,7.48565,40.43144,210.66620,-0.09071,589.33
35112,61437.27402,17.312,61437.27402,61493.15329,41.81868,97.69795,28.16974,-0.15651,87.47
35137,62120.14995,17.538,62120.14995,62143.10786,32.62504,55.58295,44.83254,0.22514,133.29
35160,61857.31667,22.891,61857.31667,61878.37472,27.28172,48.33977,79.91259,0.08228,229.76
35204,61172.33509,21.564,61172.33509,61181.21183,78.87365,87.75039,4.59270,-0.32711,22.63
35208,61673.19301,20.499,61673.19301,61711.08033,11.14047,49.02780,257.22828,-0.00983,717.38
35210,62482.30208,17.997,62482.30208,62563.13931,1.92548,82.76271,259.90438,0.45386,724.74
35267,61594.30217,23.211,61594.30217,61594.32522,20.18041,20.20346,213.06100,-0.05803,595.92
35301,61878.27271,19.352,61878.27271,61886.16802,8.43506,16.33037,217.34908,0.10418,607.71
35315,62120.14995,17.318,62120.14995,62143.10742,12.86695,35.82441,69.91340,0.23626,202.26
35318,61796.09538,20.302,61796.09538,61803.21880,87.82191,94.94534,354.11415,0.01549,983.81
35335,61048.12279,23.374,61048.12279,61078.07110,40.64004,70.58835,354.08244,-0.37729,983.73
35340,61226.07801,20.850,61226.07801,61297.09798,4.63328,75.65325,262.47071,-0.25391,731.79
35384,61557.39420,23.306,61557.39420,61594.32332,51.93723,88.86635,338.59083,-0.09576,941.12
35395,61979.15839,16.670,61979.15839,62038.09859,33.10077,92.04098,117.86608,0.14627,334.13
35400,61968.04307,21.851,61968.04307,62038.06106,25.66439,95.68238,199.36302,0.14423,558.25
35415,61080.10055,17.179,61080.10055,61086.29745,0.48640,6.68329,147.29786,-0.33513,415.07
35417,62005.04575,17.405,62005.04575,62005.04665,8.98573,8.98662,105.47957,0.17401,300.07
35457,61078.32068,23.430,61078.32068,61089.29684,40.68161,51.65777,84.32239,-0.35958,241.89
35459,61211.36152,22.812,61211.36152,61232.35218,26.96943,47.96009,287.84284,-0.27494,801.57
35463,62510.28166,17.219,62510.28166,62563.13887,1.53707,54.39428,247.39229,0.47123,690.33
35473,61676.02225,19.692,61676.02225,61711.08391,9.40073,44.46238,163.28135,-0.00733,459.02
35490,61816.17152,17.679,61816.17152,61886.00248,4.82396,74.65493,215.70507,0.07201,603.19
35499,61653.10390,17.929,61653.10390,61699.03830,6.78545,52.71985,181.27693,-0.01845,508.51
35504,61699.33478,21.846,61699.33478,61714.30727,82.86078,97.83327,133.23181,-0.03481,376.39
35509,61078.32023,23.098,61078.32023,61114.21936,23.86938,59.76851,172.22743,-0.34976,483.63
35565,62202.04401,22.740,62202.04401,62213.02559,42.80834,53.78993,76.77004,0.26564,221.12
35576,61355.21242,17.860,61355.21242,61387.20043,54.54248,86.53049,45.08223,-0.20932,133.98
35600,62213.16935,23.027,62213.16935,62213.16979,15.59584,15.59629,184.84910,0.28747,518.34
35676,61382.05729,21.406,61382.05729,61385.07061,38.77769,41.79100,176.19191,-0.18552,494.53
35679,61857.32114,18.675,61857.32114,61885.24415,4.99898,32.92199,136.08991,0.09454,384.25
35706,62210.33303,24.048,62210.33303,62212.37744,73.49334,75.53774,287.06548,0.25294,799.43
35721,61115.33385,23.903,61115.33385,61118.35954,70.25316,73.27885,129.16340,-0.35523,365.20
35725,61016.07000,24.568,61016.07000,61016.07045,91.02647,91.02692,145.85301,-0.42636,411.10
